Class Label,Data 1,Data 2
class 2,7.459297534,7.808394987
class 2,4.372084736,-9.449574922
class 1,1.668365019,-7.205131102
class 2,6.356395042,6.549840672
class 2,3.604184357,7.668850334
class 1,-2.071414195,-1.195738225
class 1,1.829200011,-7.122181992
class 1,-2.938062084,2.954345059
class 2,7.38987505,-5.652692023
class 2,-8.213260756,5.375551998
class 1,-0.53432326,5.262690883
class 2,7.741165554,4.474104379
class 1,0.210454859,6.636436401
class 1,3.451433987,-4.495993467
class 1,-2.993058419,-3.97853973
class 2,9.475922639,-3.926267268
class 1,1.417988904,-6.207086307
class 1,3.140018906,7.303956988
class 2,9.53600832,-1.555659984
class 2,8.455911308,2.487075301
class 1,2.243322208,5.386452367
class 2,-2.414821273,-8.048728827
class 1,0.349596737,-1.630780439
class 1,5.727237629,1.914562448
class 1,-5.865848857,-2.860525239
class 1,0.140839187,8.342756833
class 1,3.681402145,-3.455493982
class 2,-9.221888082,9.073103088
class 2,-8.059163075,8.329561718
class 1,4.773695295,1.268728232
class 2,8.550956372,-6.404942329
class 2,-8.404000281,7.956854622
class 2,-7.818696559,3.026192156
class 2,-8.249956396,-2.564671485
class 1,4.802723437,5.785629247
class 2,-8.09654297,3.804026282
class 1,4.656850808,-3.825744785
class 1,-3.195743646,-1.9371281
class 1,7.034241662,2.609328665
class 1,-3.480459561,4.061741424
class 1,2.011947991,-7.29159461
class 1,6.075494962,-3.578986416
class 2,0.452139454,-8.321125706
class 1,1.166560789,-1.275490556
class 1,-2.840734262,-1.663989983
class 1,5.492453871,-3.571849487
class 1,-6.984092648,3.628524818
class 2,8.486390196,-9.25623736
class 1,6.596790584,2.566610946
class 2,8.248841658,-6.536068768
class 1,3.081058737,0.479487516
class 1,-4.074684959,4.89482743
class 1,-4.12865037,-0.087639324
class 1,6.314177321,-2.912665758
class 2,9.06531705,-0.914135009
class 2,6.209154667,-6.359056798
class 2,6.991210489,3.903328584
class 1,-3.645501771,1.341414524
class 2,6.688006892,4.976514314
class 2,6.22398871,7.636957973
class 2,-8.176986647,4.009582194
class 2,8.331288416,3.763159654
